,rating,title,user
56,4,Is Everyone Hanging Out Without Me?,31236408
57,4,House of Sand and Fog,31236408
58,4,Deadwood,31236408
59,3,The Perks of Being a Wallflower,31236408
60,4,The Color Purple,31236408
61,4,White Teeth,31236408
62,3,Fun Home: A Family Tragicomic,31236408
63,4,The Magus,31236408
64,4,Ready Player One,31236408
65,4,Bel Canto,31236408
66,4,American Gods,31236408
67,2,"My Mother She Killed Me, My Father He Ate Me: Forty New Fairy Tales",31236408
68,4,If on a Winter's Night a Traveler,31236408
69,3,Slaughterhouse-Five,31236408
70,3,1984,31236408
71,5,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",31236408
72,2,The Girl on the Train,31236408
73,5,The Grapes of Wrath,31236408
74,4,"The Lion, the Witch and the Wardrobe",31236408
75,5,The Lord of the Rings,31236408
76,3,Empire Falls,31236408
77,3,The Children of Men,31236408
78,3,The Night Circus,31236408
79,5,A Clash of Kings,31236408
80,3,The Red Tent,31236408
81,5,Charlotte's Web,31236408
82,5,The Blind Assassin,31236408
83,3,44 Scotland Street,31236408
84,2,Insurgent,31236408
85,2,Divergent,31236408
86,2,Gone Girl,31236408
87,3,The Magicians,31236408
88,5,Station Eleven,31236408
89,4,Freedom,31236408
90,2,The Host,31236408
91,2,Mockingjay,31236408
92,2,Anthem,31236408
93,4,Brave New World,31236408
94,2,The Martian,31236408
95,5,MaddAddam,31236408
96,3,The Lovely Bones,31236408
97,2,The Girl with the Dragon Tattoo,31236408
98,5,World War Z: An Oral History of the Zombie War,31236408
99,3,The True Confessions of Charlotte Doyle,31236408
100,3,Prodigal Summer,31236408
101,5,The Year of the Flood,31236408
102,5,The Handmaid's Tale,31236408
103,5,Wolf in White Van,31236408
104,5,The Book of Lost Things,31236408
105,4,Americanah,31236408
106,4,Wonder,31236408
107,5,Geek Love,31236408
108,5,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,31236408
109,5,Alanna: The First Adventure,31236408
110,3,The Killer Angels,31236408
111,3,Fried Green Tomatoes at the Whistle Stop Cafe,31236408
112,5,Cold Mountain,31236408
113,4,Misery,31236408
114,5,Island of the Blue Dolphins,31236408
115,5,The Phantom Tollbooth,31236408
116,2,The Mists of Avalon,31236408
117,5,Flowers for Algernon,31236408
118,5,The Shining,31236408
119,5,Where the Red Fern Grows,31236408
120,2,The Scarlet Letter,31236408
121,5,The Golden Compass,31236408
122,5,Middlesex,31236408
123,5,Matilda,31236408
124,3,The Bell Jar,31236408
125,5,A Wrinkle in Time,31236408
126,5,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,31236408
127,3,Lord of the Flies,31236408
128,3,The Time Traveler's Wife,31236408
129,5,To Kill a Mockingbird,31236408
130,3,Memoirs of a Geisha,31236408
131,5,The Hitchhiker's Guide to the Galaxy,31236408
132,5,Jonathan Strange & Mr Norrell,31236408
133,3,Tuck Everlasting,31236408
134,5,The Witches,31236408
135,3,The Green Mile,31236408
136,4,A Separate Peace,31236408
137,4,Things Fall Apart,31236408
138,5,The Many Lives and Secret Sorrows of Josephine B.,31236408
139,2,Wolf Hall,31236408
140,4,The Girl With All the Gifts,31236408
141,4,On Such a Full Sea,31236408
142,3,"Boy, Snow, Bird",31236408
143,4,Parable of the Talents,31236408
144,5,Oryx and Crake,31236408
145,4,Black Moon,31236408
146,2,A Discovery of Witches,31236408
147,2,Fahrenheit 451,31236408
148,3,Of Mice and Men,31236408
149,3,The Catcher in the Rye,31236408
150,2,The Great Gatsby,31236408
151,4,Parable of the Sower,31236408
152,5,Seating Arrangements,31236408
153,5,Exodus,31236408
154,5,A Game of Thrones,31236408
155,4,The Amazing Adventures of Kavalier & Clay,31236408
156,4,Running with Scissors,31236408
157,5,Cloud Atlas,31236408
158,3,Love in the Time of Cholera,31236408
159,3,One Hundred Years of Solitude,31236408
160,4,The Joy Luck Club,31236408
161,5,"A Game of Thrones: The Graphic Novel Vol 1, No. 1",31236408
162,2,Peace Like a River,31236408
163,5,Wolf-Speaker,31236408
164,5,The Realms of the Gods,31236408
165,5,Emperor Mage,31236408
166,5,Wild Magic,31236408
167,3,Beast,31236408
168,5,The Chronicles of Narnia,31236408
169,5,Beauty: A Retelling of the Story of Beauty and the Beast,31236408
170,5,Ella Enchanted,31236408
171,4,Shōgun,31236408
172,4,The Brief Wondrous Life of Oscar Wao,31236408
173,3,The Guernsey Literary and Potato Peel Pie Society,31236408
174,3,Everything Is Illuminated,31236408
175,1,Wicked: The Life and Times of the Wicked Witch of the West,31236408
176,4,Eating Animals,31236408
177,4,The Help,31236408
178,2,She's Come Undone,31236408
179,4,The Return of the King,31236408
180,4,The Two Towers,31236408
181,4,The Fellowship of the Ring,31236408
182,1,I am Charlotte Simmons,31236408
183,5,Holes,31236408
184,2,The Bonfire of the Vanities,31236408
185,3,The Curious Incident of the Dog in the Night-Time,31236408
186,3,Manic: A Memoir,31236408
187,3,Darkness Visible: A Memoir of Madness,31236408
188,3,Mr. Darcy's Diary,31236408
189,3,Sense and Sensibility,31236408
190,2,The White Tiger,31236408
191,5,A Fine Balance,31236408
192,2,A Passage to India,31236408
193,3,Gods and Generals,31236408
194,1,Flight Behavior,31236408
195,3,The Lacuna,31236408
196,5,Pigs in Heaven,31236408
197,4,The Bean Trees,31236408
198,3,Girl with a Pearl Earring,31236408
199,3,Water for Elephants,31236408
200,5,Little Bee,31236408
201,3,The Secret Life of Bees,31236408
202,3,Shades of Grey,31236408
203,4,Tik-Tok of Oz,31236408
204,5,The Patchwork Girl of Oz,31236408
205,5,The Emerald City of Oz,31236408
206,5,Dorothy and the Wizard in Oz,31236408
207,5,The Road to Oz,31236408
208,5,Ozma of Oz,31236408
209,5,The Marvelous Land of Oz,31236408
210,5,The Wonderful Wizard of Oz,31236408
211,2,Anna Karenina,31236408
212,3,Brave New World / Brave New World Revisited,31236408
213,2,Catch-22,31236408
214,2,The Picture of Dorian Gray,31236408
215,3,Wuthering Heights,31236408
216,2,For Whom the Bell Tolls,31236408
217,3,The Widow of the South,31236408
218,4,The Emotional Brain: The Mysterious Underpinnings of Emotional Life,31236408
219,5,Lord Brocktree,31236408
220,4,Walk Two Moons,31236408
221,5,The Thorn Birds,31236408
222,3,The Other Boleyn Girl,31236408
223,4,Why Zebras Don't Get Ulcers,31236408
224,3,Night Over Water,31236408
225,5,World Without End,31236408
226,3,Persuasion,31236408
227,3,Emma,31236408
228,1,The Fountainhead,31236408
229,2,Atlas Shrugged,31236408
230,5,Gone with the Wind,31236408
231,1,Ender's Game,31236408
232,5,The Giver,31236408
233,5,Life of Pi,31236408
234,4,Blink: The Power of Thinking Without Thinking,31236408
235,5,9 Highland Road: Sane Living for the Mentally Ill,31236408
236,5,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,31236408
237,3,Ireland,31236408
238,4,London,31236408
239,3,The Complete Persepolis,31236408
240,5,An Unquiet Mind: A Memoir of Moods and Madness,31236408
241,1,Driftless,31236408
242,5,The Great Train Robbery,31236408
243,5,East of Eden,31236408
244,4,The Historian,31236408
245,4,The Chosen,31236408
246,5,The Pillars of the Earth,31236408
247,1,The Beach,31236408
248,2,Pride and Prejudice and Zombies,31236408
249,5,Pride and Prejudice,31236408
250,2,Atonement,31236408
251,3,The Kite Runner,31236408
252,4,Sea of Poppies,31236408
253,4,The Borderland,31236408
254,5,Watership Down,31236408
255,5,Heaven and Hell,31236408
256,5,Love and War,31236408
257,5,North and South,31236408
258,3,Shantaram,31236408
259,3,Let the Great World Spin,31236408
260,1,Catching Fire,31236408
261,2,The Hunger Games,31236408
262,5,Lexicon,31236408
263,5,The Poisonwood Bible,31236408
264,5,A Dance with Dragons,31236408
265,5,A Feast for Crows,31236408
266,5,A Storm of Swords,31236408
267,5,A Game of Thrones / A Clash of Kings,31236408
0,5,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,2283563
1,4,M Is for Magic,2283563
2,4,The Virgin Suicides,2283563
3,4,The Shepherd's Crown,2283563
4,3,Jonathan Livingston Seagull,2283563
5,4,I Shall Wear Midnight,2283563
6,5,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,2283563
7,4,Alias Grace,2283563
8,2,"A Very, Very Bad Thing",2283563
9,4,Jurassic Park,2283563
10,4,Practical Magic,2283563
11,4,The View from the Cheap Seats: Selected Nonfiction,2283563
12,2,Since We Fell,2283563
13,5,The Chronicles of Harris Burdick: 14 Amazing Authors Tell the Tales,2283563
14,4,The Blinds,2283563
15,5,The Monster of Florence,2283563
16,3,The City of Falling Angels,2283563
17,2,Origins: Fourteen Billion Years of Cosmic Evolution,2283563
18,3,The Colour of Magic,2283563
19,2,The Mysterious Affair at Styles,2283563
20,3,Darkly Dreaming Dexter,2283563
21,4,Strong Curves: A Woman's Guide to Building a Better Butt and Body,2283563
22,3,Acceptance,2283563
23,4,Authority,2283563
24,3,Wintersmith,2283563
25,3,A Hat Full of Sky,2283563
26,4,The Wee Free Men,2283563
27,4,Astrophysics for People in a Hurry,2283563
28,4,Her Body and Other Parties,2283563
29,2,They Do It with Mirrors,2283563
30,3,Into the Water,2283563
31,3,The Under Dog and Other Stories,2283563
32,5,Murder on the Orient Express,2283563
33,3,Beacon 23,2283563
34,4,Fool,2283563
35,3,The Serpent of Venice,2283563
36,4,Wishful Drinking,2283563
37,4,Cat's Eye,2283563
38,4,Everything I Never Told You,2283563
39,2,Island,2283563
40,2,Secondhand Souls,2283563
41,4,Hidden Figures: The Untold True Story of Four African-American Women Who Helped Launch Our Nation Into Space,2283563
42,4,Terrible Typhoid Mary: A True Story of the Deadliest Cook in America,2283563
43,4,The Sleeper and the Spindle,2283563
44,2,Sleeping on Jupiter,2283563
45,2,The Past,2283563
46,5,Rosemary's Baby,2283563
47,3,Dark Matter,2283563
48,3,Commonwealth,2283563
49,5,The America's Test Kitchen Family Cookbook,2283563
50,4,The Araboolies of Liberty Street,2283563
51,3,The Halloween Tree,2283563
52,3,A Darker Shade of Magic,2283563
53,4,Red Dragon,2283563
54,0,The French Laundry Cookbook,2283563
55,4,Gulp: Adventures on the Alimentary Canal,2283563
56,4,Norse Mythology,2283563
57,4,Smoke and Mirrors,2283563
58,4,The Natural Way of Things,2283563
59,0,Wuthering Heights,2283563
60,4,The Martian Chronicles,2283563
61,3,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",2283563
62,4,MaddAddam,2283563
63,4,Fragile Things: Short Fictions and Wonders,2283563
64,5,The Ocean at the End of the Lane,2283563
65,2,Hell Week: Seven Days to Be Your Best Self,2283563
66,3,H is for Hawk,2283563
67,5,The Price of Salt,2283563
68,4,Never Let Me Go,2283563
69,4,Anansi Boys,2283563
70,0,Going Solo,2283563
71,0,The Most Dangerous Game,2283563
72,0,A Sound of Thunder,2283563
73,4,Harrison Bergeron,2283563
74,4,A Separate Peace,2283563
75,4,Annihilation,2283563
76,3,Life of Pi,2283563
77,4,The Danish Girl,2283563
78,0,Scary Stories 3: More Tales to Chill Your Bones,2283563
79,0,Scary Stories to Tell in the Dark,2283563
80,0,More Scary Stories to Tell in the Dark,2283563
81,0,Animal Farm,2283563
82,0,Falling Up,2283563
83,3,Day of the Oprichnik,2283563
84,2,The Good Girl,2283563
85,4,Neverwhere,2283563
86,4,Seveneves,2283563
87,0,Birth Matters:  A Midwife's Manifesta,2283563
88,0,Spiritual Midwifery,2283563
89,0,Ina May's Guide to Childbirth,2283563
90,4,The Graveyard Book: Full-Cast Production,2283563
91,3,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",2283563
92,4,Trigger Warning: Short Fictions and Disturbances,2283563
93,3,"Your Best Birth: Know All Your Options, Discover the Natural Choices, and Take Back the Birth Experience",2283563
94,4,"Real Food for Mother and Baby: The Fertility Diet, Eating for Two, and Baby's First Foods",2283563
95,3,Eat Yourself Pregnant: Essential Recipes to Boosting your Fertility Naturally,2283563
96,2,Mockingjay,2283563
97,4,Why We Get Fat: And What to Do About It,2283563
98,4,In the Unlikely Event,2283563
99,4,"Young House Love: 243 Ways to Paint, Craft, Update  Show Your Home Some Love",2283563
100,4,"Beautiful Babies: Nutrition for Fertility, Pregnancy, Breastfeeding, and Baby's First Food",2283563
101,4,Stardust,2283563
102,5,"Lovable Livable Home: How to Add Beauty, Get Organized, and Make Your House Work for You",2283563
103,2,Starship Troopers,2283563
104,4,Wool,2283563
105,2,The Fertility Diet,2283563
106,4,"People I Want to Punch in the Throat: Competitive Crafters, Drop-Off Despots, and Other Suburban Scourges",2283563
107,3,The Lottery and Other Stories,2283563
108,4,Furiously Happy: A Funny Book About Horrible Things,2283563
109,4,Modern Romance,2283563
110,2,Damned,2283563
111,0,The Cuckoo Clock of Doom,2283563
112,5,Stiff: The Curious Lives of Human Cadavers,2283563
113,4,The Girl on the Train,2283563
114,3,Ready Player One,2283563
115,0,Aliens Stole My Body,2283563
116,0,The Search for Snout,2283563
117,0,I Left My Sneakers in Dimension X,2283563
118,0,Aliens Ate My Homework,2283563
119,4,The Nightingale,2283563
120,5,American Gods,2283563
121,3,Sacré Bleu: A Comedy d'Art,2283563
122,4,Career of Evil,2283563
123,3,The Age of Miracles,2283563
124,5,The Ocean at the End of the Lane,2283563
125,2,The Girl With All the Gifts,2283563
126,1,Imperial Bedrooms,2283563
127,4,The Splendid Things We Planned: A Family Portrait,2283563
128,3,Acsm's Complete Guide to Fitness & Health,2283563
129,0,Attack of the Deranged Mutant Killer Monster Snow Goons,2283563
130,0,The Revenge of the Baby-Sat,2283563
131,0,Weirdos from Another Planet!,2283563
132,0,Calvin and Hobbes: Sunday Pages 1985-1995: An Exhibition Catalogue,2283563
133,0,It's a Magical World,2283563
134,0,Yukon Ho!,2283563
135,0,The Calvin and Hobbes Lazy Sunday Book,2283563
136,0,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,2283563
137,4,Exploring Calvin and Hobbes: An Exhibition Catalogue,2283563
138,3,The Children of Men,2283563
139,0,This Lullaby,2283563
140,4,Midnight's Children,2283563
141,0,"Yoga Anatomy: Your Illustrated Guide to Postures, Movements, and Breathing Techniques",2283563
142,0,Chain Letter: Two Books in One,2283563
143,0,The Ancient Evil,2283563
144,3,Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living,2283563
145,3,Bhagavad Gita: A New Translation,2283563
146,4,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",2283563
147,4,Hiit It!,2283563
148,3,The Science of Yoga: The Risks and the Rewards,2283563
149,4,A Dirty Job,2283563
150,4,As You Wish: Inconceivable Tales from the Making of The Princess Bride,2283563
151,0,The Adventures of Tom Sawyer,2283563
152,3,Play Dead,2283563
153,3,Ruff Way to Go,2283563
154,3,Princess Nevermore,2283563
155,2,The Fall,2283563
156,3,Misty of Chincoteague,2283563
157,3,Amelia's Notebook,2283563
158,4,David Sedaris: Live at Carnegie Hall/Live for Your Listening Pleasure,2283563
159,4,Let's Explore Diabetes with Owls,2283563
160,4,Yes Please,2283563
161,4,When You Are Engulfed in Flames,2283563
162,3,Squirrel Seeks Chipmunk: A Modest Bestiary,2283563
163,3,Simple Times: Crafts for Poor People,2283563
164,5,Station Eleven,2283563
165,3,Holidays on Ice,2283563
166,4,Naked,2283563
167,2,Catching Fire,2283563
168,4,Farewell to the East End: The Last Days of the East End Midwives,2283563
169,4,Shadows of the Workhouse,2283563
170,4,"The Midwife: A Memoir of Birth, Joy, and Hard Times",2283563
171,2,The Hunger Games,2283563
172,3,The Invisible Man,2283563
173,4,The Pearl,2283563
174,4,The Stranger,2283563
175,3,A Study in Scarlet,2283563
176,5,The Yellow Wall-Paper,2283563
177,5,One Hundred Years of Solitude,2283563
178,5,The Year of the Flood,2283563
179,5,Oryx and Crake,2283563
180,4,The Silkworm,2283563
181,0,The Silkworm,2283563
182,5,The Magus,2283563
183,4,And Then There Were None,2283563
184,4,Coraline,2283563
185,4,To the Lighthouse,2283563
186,4,The Blind Watchmaker,2283563
187,4,The Postman Always Rings Twice,2283563
188,4,Fahrenheit 451,2283563
189,4,Animal Farm / 1984,2283563
190,4,A Confederacy of Dunces,2283563
191,3,Gone Girl,2283563
192,4,The Blind Assassin,2283563
193,4,The Scarlet Letter,2283563
194,3,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",2283563
195,3,Into the Woods,2283563
196,4,The Complete Fairy Tales,2283563
197,4,The Complete Grimm's Fairy Tales,2283563
198,4,Peter Pan,2283563
199,4,Oedipus Rex,2283563
200,5,Alice's Adventures in Wonderland: A Pop-Up Adaptation,2283563
201,4,Scary Stories Treasury,2283563
202,4,My Teacher Is an Alien,2283563
203,5,Rebecca,2283563
204,3,The Princess Diaries,2283563
205,4,The Cuckoo's Calling,2283563
206,0,"One Fish, Two Fish, Red Fish, Blue Fish",2283563
207,0,A Light in the Attic,2283563
208,0,Death Be Not Proud,2283563
209,0,By the Shores of Silver Lake,2283563
210,0,These Happy Golden Years,2283563
211,0,A Little Princess,2283563
212,0,"Sarah, Plain and Tall",2283563
213,0,The Gift of the Magi,2283563
214,0,On the Banks of Plum Creek,2283563
215,0,Wide Sargasso Sea,2283563
216,0,Stopping by Woods on a Snowy Evening,2283563
217,0,Little Town on the Prairie,2283563
218,0,The Souls of Black Folk,2283563
219,0,The Long Winter,2283563
220,0,Cloudy With a Chance of Meatballs,2283563
221,0,Harold and the Purple Crayon,2283563
222,0,Ella Enchanted,2283563
223,0,The Tale of Peter Rabbit,2283563
224,0,The Polar Express,2283563
225,0,Holes,2283563
226,0,Heart of Darkness and The Secret Sharer,2283563
227,5,The Westing Game,2283563
228,0,"Oh, The Places You'll Go!",2283563
229,5,The Neverending Story,2283563
230,0,Speak,2283563
231,0,The Cat in the Hat,2283563
232,0,The Very Hungry Caterpillar,2283563
233,0,A Good Man is Hard to Find and Other Stories,2283563
234,0,Little House in the Big Woods,2283563
235,0,The Phantom Tollbooth,2283563
236,0,Where the Red Fern Grows,2283563
237,0,Little House on the Prairie,2283563
238,0,Their Eyes Were Watching God,2283563
239,0,Where the Wild Things Are,2283563
240,0,The Sun Also Rises,2283563
241,0,The Lorax,2283563
242,0,Green Eggs and Ham,2283563
243,0,A Wrinkle in Time,2283563
244,3,The Wind in the Willows,2283563
245,0,James and the Giant Peach,2283563
246,0,Death of a Salesman,2283563
247,0,Tuesdays with Morrie,2283563
248,0,How the Grinch Stole Christmas!,2283563
249,0,The Crucible,2283563
250,0,The Velveteen Rabbit,2283563
251,0,Goodnight Moon,2283563
252,0,Calvin and Hobbes,2283563
253,3,My Ántonia,2283563
254,4,The Casual Vacancy,2283563
255,4,Let's Pretend This Never Happened: A Mostly True Memoir,2283563
256,5,Alice's Adventures in Wonderland & Through the Looking-Glass,2283563
257,3,The Wind-Up Bird Chronicle,2283563
258,0,"Life, the Universe and Everything",2283563
259,0,The Restaurant at the End of the Universe,2283563
260,4,Bossypants,2283563
261,4,The Handmaid's Tale,2283563
262,4,Do Androids Dream of Electric Sheep?,2283563
263,5,Howl and Other Poems,2283563
264,4,The Haunting of Hill House,2283563
265,4,Dress Your Family in Corduroy and Denim,2283563
266,0,Breakfast at Tiffany's,2283563
267,0,A Handful of Dust,2283563
268,3,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,2283563
269,4,Translations,2283563
270,0,The Secret Garden,2283563
271,5,Macbeth,2283563
272,0,The Stranger,2283563
273,3,The Long Secret,2283563
274,4,Harriet the Spy,2283563
275,4,Love Medicine,2283563
276,0,The Invisible Man,2283563
277,4,Invisible Man,2283563
278,2,Heart of Darkness,2283563
279,5,Tuck Everlasting,2283563
280,5,The Importance of Being Earnest,2283563
281,5,A Midsummer Night's Dream,2283563
282,2,"England, England",2283563
